ID,PFS_Paper,Final_judge_PFS,ORR_Paper,Final_judge_ORR,Blinding_Central,Trial_phase,Trial_number,Trial_name,Tumor,Funding,Industry_name,Trial_arm,Treatment_line,Drug_name_intervention,Drug_classification_intervention,Drug_name_control,Drug_classification_control,Primary_outcome,Response_criteria,Randomized_patient_number_intervention,Randomized_patient_number_control,Follow_up_period_months_median,PFS_INV_HR,PFS_INV_95%CI_lower,PFS_INV_95%CI_upper,PFS_CNT_HR,PFS_CNT_95%CI_lower,PFS_CNT_95%CI_upper,ORR_N_INV_intervention,CR+PR_INV_intervention,ORR_N_INV_control,CR+PR_INV_control,ORR_N_CNT_intervention,CR+PR_CNT_intervention,ORR_N_CNT_control,CR+PR_CNT_control,Median_OS_intervention,Median_OS_control,OS_HR,OS_95%CI_lower,OS_95%CI_upper,title,journal,year,authors,url,pubmed_id,Reason_PFS,Reason_ORR
317,Investigator + Central,Central,Central,Central,Blinding,Phase 3,NCT02395172,JAVELIN Lung 200,Non-small cell lung cancer,Industry,Merck and Pfizer,2,≥2,Avelumab,Immune checkpoint inhibitor,Docetaxel,Chemotherapy,OS,RECIST 1.1,396,396,18.3,NA,NA,NA,1.16,0.97,1.4,NA,NA,NA,NA,396,59,396,44,10.5,9.9,0.9,0.75,1.08,"Avelumab versus docetaxel in patients with platinum-treated advanced non-small-cell lung cancer (JAVELIN Lung 200): an open-label, randomised, phase 3 study.",The Lancet. Oncology,2018,Barlesi F and Vansteenkiste J and Spigel D and Ishii H and Garassino M and de Marinis F and ﾃ奔gﾃｼroﾄ殕u M and Szczesna A and Polychronis A and Uslu R and Krzakowski M and Lee JS and Calabrﾃｲ L and Arﾃｩn Frontera O and Ellers-Lenz B and Bajars M and Ruisi M and Park K,https://pubmed.ncbi.nlm.nih.gov/30262187/,30262187,No local,No local
326,Investigator + Central,Central,Investigator + Central,Central,Unclear,Phase 1/2,NCT02400788,No name,Hepatocellular cancer,Industry,"Yakult Honsha Co., LTD",2,1,resminostat + sorafenib,Chemotherapy,sorafenib,Chemotherapy,TTP,RECIST 1.1,86,84,NA,NA,NA,NA,0.984,0.684,1.414,NA,NA,NA,NA,83,3,84,8,11.8,14.1,1.046,0.704,1.555,"Phase I/II study of first-line combination therapy with sorafenib plus resminostat, an oral HDAC inhibitor, versus sorafenib monotherapy for advanced hepatocellular carcinoma in east Asian patients.",Investigational new drugs,2018,Tak WY and Ryoo BY and Lim HY and Kim DY and Okusaka T and Ikeda M and Hidaka H and Yeon JE and Mizukoshi E and Morimoto M and Lee MA and Yasui K and Kawaguchi Y and Heo J and Morita S and Kim TY and Furuse J and Katayama K and Aramaki T and Hara R and Kimura T and Nakamura O and Kudo M,https://pubmed.ncbi.nlm.nih.gov/30198057/,30198057,No local,No local
332,Investigator + Central,"Central, No HR",Investigator + Central,Central,Unclear,Phase 2,NCT01164189,TAVAREC,Glioma,Industry,Roche Pharmaceuticals,2,2,temozolomide plus bevacizumab,Target therapy and chemotherapy,temozolomide,Chemotherapy,OS,RANO criteria,78,77,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,36,72,32,13.8,15,1.11,0.77,1.6,"Bevacizumab and temozolomide in patients with first recurrence of WHO grade II and III glioma, without 1p/19q co-deletion (TAVAREC): a randomised controlled phase 2 EORTC trial.",The Lancet. Oncology,2018,van den Bent MJ and Klein M and Smits M and Reijneveld JC and French PJ and Clement P and de Vos FYF and Wick A and Mulholland PJ and Taphoorn MJB and Lewis J and Weller M and Chinot OL and Kros JM and de Heer I and Verschuere T and Coens C and Golfinopoulos V and Gorlia T and Idbaih A,https://pubmed.ncbi.nlm.nih.gov/30115593/,30115593,No PFS,No local
379,Investigator + Central,Central,Central,Central,Unclear,Phase 2,NCT01004003,No name,Hepatocellular cancer,Industry,Boehringer Ingelheim,2,1,Nintedanib,Target therapy,sorafenib,Target therapy,TTP,RECIST 1.0,62,31,NA,NA,NA,NA,1.35,0.78,2.34,NA,NA,NA,NA,62,1,31,2,11.9,11.4,0.88,0.52,1.47,"A multicentre, open-label, phase-I/randomised phase-II study to evaluate safety, pharmacokinetics, and efficacy of nintedanib vs. sorafenib in European patients with advanced hepatocellular carcinoma.",British journal of cancer,2018,Palmer DH and Ma YT and Peck-Radosavljevic M and Ross P and Graham J and Fartoux L and Deptala A and Studeny M and Schnell D and Hocke J and Loembﾃｩ AB and Meyer T,https://pubmed.ncbi.nlm.nih.gov/29563636/,29563636,No local,No local
388,Investigator + Central,Central,Investigator + Central,Central,Unclear,Phase 2,NCT01395758,No name,Non-small cell lung cancer,Industry,ArQule and Daichii Sanyko,2,≥2,tivantinib plus erlotinib,Target therapy,"pemetrexed, docetaxel, or gemcitabine",Chemotherapy,PFS,RECIST 1.1,51,45,3.4,data not shown,,,1.19,0.71,1.97,data not shown,,,,51,0,45,4,6.8,8.5,1.2,0.76,1.88,Randomized phase 2 study of tivantinib plus erlotinib versus single-agent chemotherapy in previously treated KRAS mutant advanced non-small cell lung cancer.,"Lung cancer (Amsterdam, Netherlands)",2018,Gerber DE and Socinski MA and Neal JW and Wakelee HA and Shirai K and Sequist LV and Rosovsky RP and Lilenbaum RC and Bastos BR and Huang C and Johnson ML and Hesketh PJ and Subramaniam DS and Dietrich MF and Chai F and Wang Y and Kazakin J and Schwartz B and Schiller JH and Brahmer JR and Kelly RJ,https://pubmed.ncbi.nlm.nih.gov/29496255/,29496255,No local,No local
395,Investigator + Central,Investigator,Investigator + Central,Investigator,Unclear,Phase 2,NCT02295930,MACBETH,Colorectal cancer,Public,"the Italian cooperative Gruppo Oncologico Nord Ovest, the ARCO Foundation, and Merck Serono SpA in Italy",2,1,"mFOLFOXIRI plus cetuximab followed by cetuximab
plus cetuximab followed by cetuximab (arm A) or bevacizumab",Target therapy and chemotherapy,mFOLFOXIRI plus cetuximab followed by bevacizumab,Target therapy and chemotherapy,PFS,RECIST 1.1,74,69,44,0.83,0.57,1.21,NA,NA,NA,59,40,57,43,NA,NA,NA,NA,33.2,32.2,0.92,0.57,1.47,Activity and Safety of Cetuximab Plus Modified FOLFOXIRI Followed by Maintenance With Cetuximab or Bevacizumab for RAS and BRAF Wild-type Metastatic Colorectal Cancer: A Randomized Phase 2 Clinical Trial.,JAMA oncology,2018,Cremolini C and Antoniotti C and Lonardi S and Aprile G and Bergamo F and Masi G and Grande R and Tonini G and Mescoli C and Cardellino GG and Coltelli L and Salvatore L and Corsi DC and Lupi C and Gemma D and Ronzoni M and Dell'Aquila E and Marmorino F and Di Fabio F and Mancini ML and Marcucci L and Fontanini G and Zagonel V and Boni L and Falcone A,https://pubmed.ncbi.nlm.nih.gov/29450468/,29450468,No central,No central
505,Investigator + Central,Central?,Investigator + Central,Central?,Unclear,Phase 3,NCT01207011,No name,Non-small cell lung cancer,Industry,"Sumitomo Dainippon Pharma Co., Ltd.",2,"2, 3",amrubicin,Chemotherapy,docetaxel,Chemotherapy,PFS,RECIST 1.1,101,101,NA,NA,NA,NA,0.9,0.65,1.25,NA,NA,NA,NA,97,14,97,19,14.6,13.5,0.97,0.69,1.36,"A randomized, open-label, phase III trial comparing amrubicin versus docetaxel in patients with previously treated non-small-cell lung cancer.",Annals of oncology : official journal of the European Society for Medical Oncology,2017,Yoshioka H and Katakami N and Okamoto H and Iwamoto Y and Seto T and Takahashi T and Sunaga N and Kudoh S and Chikamori K and Harada M and Tanaka H and Saito H and Saka H and Takeda K and Nogami N and Masuda N and Harada T and Kitagawa H and Horio H and Yamanaka T and Fukuoka M and Yamamoto N and Nakagawa K,https://pubmed.ncbi.nlm.nih.gov/28426104/,28426104,No local,No local
542,Investigator + Central,Central,Investigator + Central,Central,Unclear,Phase 1/2,JapicCTI-132123,No name,Non-small cell lung cancer,Industry,Yakult Honsha.,2,≥2,Resminostat plus Docetaxel ,Chemotherapy,Docetaxel,Chemotherapy,PFS,RECIST 1.1,54,54,NA,Data not shown,,,1.354,0.835,2.195,NA,NA,NA,NA,54,4,53,8,15.3,15.7,1.493,0.881,2.531,"Phase I/II study of docetaxel combined with resminostat, an oral hydroxamic acid HDAC inhibitor, for advanced non-small cell lung cancer in patients previously treated with platinum-based chemotherapy.",Investigational new drugs,2017,Tambo Y and Hosomi Y and Sakai H and Nogami N and Atagi S and Sasaki Y and Kato T and Takahashi T and Seto T and Maemondo M and Nokihara H and Koyama R and Nakagawa K and Kawaguchi T and Okamura Y and Nakamura O and Nishio M and Tamura T,https://pubmed.ncbi.nlm.nih.gov/28138828/,28138828,No local,No local
628,Investigator + Central,Central?,Investigator + Central,Central?,Blinding,Phase 2,NCT00851084,AFFIRM,Colorectal cancer,Industry,"Sanofi and Regeneron Pharmaceuticals, Inc.",2,1,Aflibercept and mFOLFOX6,Target therapy and chemotherapy,mFOLFOX6,chemotherapy,PFS,RECIST 1.0,119,117,17.5,NA,NA,NA,1,0.74,1.36,NA,NA,NA,NA,,49.10%,,45.90%,19.5,22.3,0.98,0.66,1.45,Oxaliplatin and 5-FU/folinic acid (modified FOLFOX6) with or without aflibercept in first-line treatment of patients with metastatic colorectal cancer: the AFFIRM study.,Annals of oncology : official journal of the European Society for Medical Oncology,2016,Folprecht G and Pericay C and Saunders MP and Thomas A and Lopez Lopez R and Roh JK and Chistyakov V and Hﾃｶhler T and Kim JS and Hofheinz RD and Ackland SP and Swinson D and Kopp M and Udovitsa D and Hall M and Iveson T and Vogel A and Zalcberg JR,https://pubmed.ncbi.nlm.nih.gov/27091810/,27091810,No local,No ORR
629,No PFS,TTP,Investigator + Central,Investigator,Unclear,Phase 2,NCT01232296,No name,Hepatocellular cancer,Industry,Novartis Pharmaceuticals,2,1,Dovitinib,Target therapy,Sorafenib,Target therapy,OS,RECIST 1.1,82,83,26.2,NA,NA,NA,NA,NA,NA,82,5,83,9,NA,NA,NA,NA,34.6,36.7,1.27,0.9,1.79,"Randomized, open-label phase 2 study comparing frontline dovitinib versus sorafenib in patients with advanced hepatocellular carcinoma.","Hepatology (Baltimore, Md.)",2016,Cheng AL and Thongprasert S and Lim HY and Sukeepaisarnjaroen W and Yang TS and Wu CC and Chao Y and Chan SL and Kudo M and Ikeda M and Kang YK and Pan H and Numata K and Han G and Balsara B and Zhang Y and Rodriguez AM and Zhang Y and Wang Y and Poon RT,https://pubmed.ncbi.nlm.nih.gov/27082062/,27082062,No PFS,No central
653,Investigator + Central,Investigator,Investigator + Central,Investigator,Blinding,Phase 2,NCT01005199,SAKK 77/08 and SASL 29,Hepatocellular cancer,Industry and Public,"Novartis Pharma Switzerland and Hungary and by Bayer (Schweiz) AG and Education, Research and Innovation (SERI)",2,1,sorafenib plus everolimus,Target therapy,sorafenib,Target therapy,PFS,RECIST 1.1,60,46,20,0.9,0.6,1.4,No HR,No HR,No HR,NA,NA,NA,NA,59,6,46,0,12,10,No HR,No HR,No HR,"Sorafenib with or without everolimus in patients with advanced hepatocellular carcinoma (HCC): a randomized multicenter, multinational phase II trial (SAKK 77/08 and SASL 29).",Annals of oncology : official journal of the European Society for Medical Oncology,2016,Koeberle D and Dufour JF and Demeter G and Li Q and Ribi K and Samaras P and Saletti P and Roth AD and Horber D and Buehlmann M and Wagner AD and Montemurro M and Lakatos G and Feilchenfeldt J and Peck-Radosavljevic M and Rauch D and Tschanz B and Bodoky G,https://pubmed.ncbi.nlm.nih.gov/26884590/,26884590,No central,No local
660,Investigator + Central,No PFS (No HR),Investigator + Central,No ORR,Unclear,Phase 2,No registry,No name,Non-small cell lung cancer,Public,"research grants from the Central Hospital of Zibo, China.",2,"2, 3",Pemetrexed and cyclophosphamide,Chemotherapy,Pemetrexed,Chemotherapy,PFS,RECIST 1.1,30,32,30.6,No HR,No HR,No HR,No HR,No HR,No HR,NA,NA,NA,NA,NA,NA,NA,NA,9.1,9.1,NA,NA,NA,Pemetrexed and cyclophosphamide combination therapy for the treatment of non-small cell lung cancer.,International journal of clinical and experimental pathology,2015,Li D and He S,https://pubmed.ncbi.nlm.nih.gov/26823793/,26823793,No PFS,No ORR
671,Investigator + Central,Central,Investigator + Central,Central,Blinding,Phase 2/3,NCT01905657,KEYNOTE-010,Non-small cell lung cancer,Industry,Merck & Co.,3,≥2,Pembrolizumab 10 mg/kg,Immune checkpoint inhibitor,Docetaxel,Chemotherapy,OS and PFS,RECIST 1.1,346,343,13.1,NA,NA,NA,0.79,0.66,0.94,NA,NA,NA,NA,346,64,343,32,12.7,8.5,0.61,0.49,0.75,"Pembrolizumab versus docetaxel for previously treated, PD-L1-positive, advanced non-small-cell lung cancer (KEYNOTE-010): a randomised controlled trial.","Lancet (London, England)",2016,Herbst RS and Baas P and Kim DW and Felip E and Pﾃｩrez-Gracia JL and Han JY and Molina J and Kim JH and Arvis CD and Ahn MJ and Majem M and Fidler MJ and de Castro G Jr and Garrido M and Lubiniecki GM and Shentu Y and Im E and Dolled-Filhart M and Garon EB,https://pubmed.ncbi.nlm.nih.gov/26712084/,26712084,No local,No local
717,No PFS,TTP,Investigator + Central,Central?,Blinding,Phase 2,NCT00570882,RESTORE,Renal cell cancer,Public,Korea Healthcare Technology R&D Project,2,1,Sunitinib two weeks on and one weeks off,Target therapy,Sunitinib four weeks on and two weeks off ,Target therapy,FFS,RECIST 1.0,38,36,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,18,36,12,30.5,28.4,1.15,0.64,2.04,RandomizEd phase II trial of Sunitinib four weeks on and two weeks off versus Two weeks on and One week off in metastatic clear-cell type REnal cell carcinoma: RESTORE trial.,Annals of oncology : official journal of the European Society for Medical Oncology,2015,Lee JL and Kim MK and Park I and Ahn JH and Lee DH and Ryoo HM and Song C and Hong B and Hong JH and Ahn H,https://pubmed.ncbi.nlm.nih.gov/26347107/,26347107,No PFS,No local
731,Investigator + Central,Central?,Investigator + Central,Central?,Unclear,Phase 2,NCT01500720,ARD12166,Small-cell lung cancer,Industry,Sanofi,2,1,Cabazitaxel,Chemotherapy,Topotecan,Chemotherapy,PFS,RECIST 1.1,90,89,NA,NA,NA,NA,2.17,1.563,3.01,NA,NA,NA,NA,73,0,79,8,5.2,6.8,1.57,1.1,2.25,Cabazitaxel Versus Topotecan in Patients with Small-Cell Lung Cancer with Progressive Disease During or After First-Line Platinum-Based Chemotherapy.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,2015,Evans TL and Cho BC and Udud K and Fischer JR and Shepherd FA and Martinez P and Ramlau R and Syrigos KN and Shen L and Chadjaa M and Wolf M,https://pubmed.ncbi.nlm.nih.gov/26200278/,26200278,No local,No local
758,No PFS,No PFS,Investigator + Central,Investigator,Unclear,Phase 2,NCT01033240,No name,Hepatocellular cancer,Industry,Daiichi Sankyo Pharma Development,3,1,"tigatuzumab (6 mg/kg loading, 6 mg/kg/week maintenance) plus sorafenib",Target therapy,sorafenib,Target therapy,TTP,RECIST 1.1,55,55,NA,NA,NA,NA,NA,NA,NA,55,8,55,6,Data not shown,,,,12.2,8.2,NA,NA,NA,Safety and efficacy of tigatuzumab plus sorafenib as first-line therapy in subjects with advanced hepatocellular carcinoma: A phase 2 randomized study.,Journal of hepatology,2015,Cheng AL and Kang YK and He AR and Lim HY and Ryoo BY and Hung CH and Sheen IS and Izumi N and Austin T and Wang Q and Greenberg J and Shiratori S and Beckman RA and Kudo M,https://pubmed.ncbi.nlm.nih.gov/26071796/,26071796,No PFS,No central
769,Investigator,Investigator? TTF,Investigator + Central,Central,Blinding,Phase 3,NCT00769704,No name,Melanoma,Industry,Amgen,2,≥2,Talimogene laherparepvec (T-VEC),Immune therapy,granulocyte macrophage colony-stimulating factor (GM-CSF),Immune therapy,durable response rate (DRR),modified WHO criteria,295,141,44.4,0.42,0.32,0.54,NA,NA,NA,NA,NA,NA,NA,295,78,141,8,23.3,18.9,0.79,0.62,1,Talimogene Laherparepvec Improves Durable Response Rate in Patients With Advanced Melanoma.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2015,Andtbacka RH and Kaufman HL and Collichio F and Amatruda T and Senzer N and Chesney J and Delman KA and Spitler LE and Puzanov I and Agarwala SS and Milhem M and Cranmer L and Curti B and Lewis K and Ross M and Guthrie T and Linette GP and Daniels GA and Harrington K and Middleton MR and Miller WH Jr and Zager JS and Ye Y and Yao B and Li A and Doleman S and VanderWalde A and Gansert J and Coffin RS,https://pubmed.ncbi.nlm.nih.gov/26014293/,26014293,No central,No local
