ID,Inclusion_Exlusion,PFS_Paper,Final_judge_PFS,ORR_Paper,Final_judge_ORR,Blinding_Central,Trial_phase,Trial_number,Trial_name,Tumor_pre,Tumor,Funding,Industry_name,Trial_arm,Treatment_line,Treatment_line_re,Drug_name_intervention,Drug_classification_intervention,Drug_name_control,Drug_classification_control,Primary_outcome,Response_criteria,Randomized_patient_number_intervention,Randomized_patient_number_control,Follow_up_period_months_median,PFS_INV_HR,PFS_INV_95%CI_lower,PFS_INV_95%CI_upper,PFS_CNT_HR,PFS_CNT_95%CI_lower,PFS_CNT_95%CI_upper,ORR_N_INV_intervention,CR+PR_INV_intervention,ORR_N_INV_control,CR+PR_INV_control,ORR_N_CNT_intervention,CR+PR_CNT_intervention,ORR_N_CNT_control,CR+PR_CNT_control,Median_OS_intervention,Median_OS_control,OS_HR,OS_95%CI_lower,OS_95%CI_upper,title,journal,IF_2021,year,Authors,authors,url,pubmed_id,PFS_SE_INT,PFS_SE_CNT,RHR,lnRHR,lnRHR_SE_p_0,lnRHR_SE_p_0.25,lnRHR_SE_p_0.5,lnRHR_SE_p_0.75,lnRHR_SE_p_0.95,ORR_INT,ORR_INV_95%CI_lower,ORR_INV_95%CI_upper,ORR_CENT,ORR_CNT_95%CI_lower,ORR_CNT_95%CI_upper,ORR_SE_INT,ORR_SE_CNT,ROR,lnROR,lnROR_SE_p_0,lnROR_SE_p_0.25,lnROR_SE_p_0.5,lnROR_SE_p_0.75,lnROR_SE_p_0.95
47,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Unclear,Phase 3,NCT02667743,No name,Non-small cell lung cancer,Non-small cell lung cancer,Industry,"Shanghai Yizhong Biotechnical
Co., Ltd.",2,1,1,Polymeric micellar paclitaxel plus cisplatin,Chemotherapy,Solvent-based paclitaxel plus cisplatin,Chemotherapy,ORR,RECIST 1.1,302,152,NA,0.66,0.52,0.84,0.63,0.5,0.8,300,156,148,42,300,151,148,39,18,16.4,0.84,0.65,1.08,"Comparing nanoparticle polymeric micellar paclitaxel and solvent-based paclitaxel as first-line treatment of advanced non-small-cell lung cancer: an open-label, randomized, multicenter, phase III trial.",Annals of oncology : official journal of the European Society for Medical Oncology,51.77,2021,Shi M and Gu A and Tu H and Huang C and Wang H and Yu Z and Wang X and Cao L and Shu Y and Wang H and Yang R and Li X and Chang J and Hu Y and Shen P and Hu Y and Guo Z and Tao M and Zhang Y and Liu X and Sun Q and Zhang X and Jiang Z and Zhao J and Chen F and Yu H and Zhang W and Sun J and Li D and Zhou J and Han B and Wu YL,Shi,https://pubmed.ncbi.nlm.nih.gov/33130217/,33130217,0.081632653,0.076530612,1.047619048,0.046520016,0.171297506,0.148353014,0.121137928,0.085674842,0.038377118,2.734126984,1.790893334,4.174146065,2.832386853,1.842343006,4.35446345,0.607972635,0.640847052,0.965308458,-0.035307583,0.307810738,0.266577872,0.217669643,0.153936303,0.068916142
72,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT01849874,MILO,Ovarian cancer,Ovarian cancer,Industry and Public,"Pfizer, NIH, Memorial Sloan Kettering Cancer Center Support Grant, Ovarian Cancer Research Fund",2,"2, 3, 4",≥2,Binimetinib,Target therapy,Investigator choice,Chemotherapy,PFS,RECIST 1.1,201,102,NA,0.87,0.56,1.34,1.21,0.79,1.86,198,35,101,13,198,32,101,13,25.33,20.83,0.85,0.49,1.48,"MILO/ENGOT-ov11: Binimetinib Versus Physician's Choice Chemotherapy in Recurrent or Persistent Low-Grade Serous Carcinomas of the Ovary, Fallopian Tube, or Primary Peritoneum.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,50.74,2020,Monk BJ and Grisham RN and Banerjee S and Kalbacher E and Mirza MR and Romero I and Vuylsteke P and Coleman RL and Hilpert F and Oza AM and Westermann A and Oehler MK and Pignata S and Aghajanian C and Colombo N and Drill E and Cibula D and Moore KN and Christy-Bittel J and Del Campo JM and Berger R and Marth C and Sehouli J and O'Malley DM and Churruca C and Boyd AP and Kristensen G and Clamp A and Ray-Coquard I and Vergote I,Monk,https://pubmed.ncbi.nlm.nih.gov/32822286/,32822286,0.198979592,0.272959184,0.719008264,-0.329882427,0.311859837,0.270086435,0.220537541,0.155970932,0.069850063,1.453515809,0.730961852,2.890312542,1.304911956,0.651562588,2.61340237,0.550854768,0.500469332,1.113880368,0.107849746,0.498551824,0.431762384,0.352538781,0.249295864,0.111536075
73,Inclusion,Investigator + Central,Investigator + Central,Central,Central,Blinding,Phase 3,NCT02737501,ALTA-1L,Non-small cell lung cancer,Non-small cell lung cancer,Industry,Ariad Pharmaceuticals,2,≥1,≥1,Brigatinib,Target therapy,Crizotinib,Target therapy,PFS,RECIST 1.1,137,138,24.9/15.2,0.43,0.31,0.61,0.49,0.35,0.68,NA,NA,NA,NA,137,101,138,85,NA,NA,0.92,0.57,1.47,Brigatinib Versus Crizotinib in Advanced ALK Inhibitor-Naive ALK-Positive Non-Small Cell Lung Cancer: Second Interim Analysis of the Phase III ALTA-1L Trial.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,50.74,2020,Camidge DR and Kim HR and Ahn MJ and Yang JCH and Han JY and Hochmair MJ and Lee KH and Delmonte A and Garcﾃｭa Campelo MR and Kim DW and Griesinger F and Felip E and Califano R and Spira A and Gettinger SN and Tiseo M and Lin HM and Gupta N and Hanley MJ and Ni Q and Zhang P and Popat S,Camidge,https://pubmed.ncbi.nlm.nih.gov/32780660/,32780660,0.076530612,0.084183673,0.87755102,-0.130620182,0.241914703,0.209510568,0.171074932,0.120990027,0.054186254,#VALUE!,#VALUE!,#VALUE!,1.749346405,1.04808829,2.919804442,#VALUE!,0.47747861,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
98,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Unclear,Phase 3,Eudra-CT 2016-001604-28,INSIGHT,Non-small cell lung cancer,Non-small cell lung cancer,Industry,Merck KGaA,2,≥2,≥2,Tepotinib plus gefitinib,Target therapy,Chemotherapy,Chemotherapy,PFS,RECIST 1.1,31,24,21.8?,0.67,0.35 (90%CI),1.28 (90%CI),0.51,0.23 (95%CI),1.14 (95%CI),31,14,24,8,31,12,24,10,17.3,18.7,0.69,0.34 (90%CI),1.41 (90%CI),"Tepotinib plus gefitinib in patients with EGFR-mutant non-small-cell lung cancer with MET overexpression or MET amplification and acquired resistance to previous EGFR inhibitor (INSIGHT study): an open-label, phase 1b/2, multicentre, randomised trial.",The Lancet. Respiratory medicine,54.43,2020,Wu YL and Cheng Y and Zhou J and Lu S and Zhang Y and Zhao J and Kim DW and Soo RA and Kim SW and Pan H and Chen YM and Chian CF and Liu X and Tan DSW and Bruns R and Straub J and Johne A and Scheele J and Park K and Yang JC,Wu,https://pubmed.ncbi.nlm.nih.gov/32479794/,32479794,0.281818182,0.275757576,1.31372549,0.272866987,0.566693097,0.49083109,0.400860637,0.283660612,0.127603355,1.647058824,0.545609851,4.972056063,0.884210526,0.298273505,2.621179023,1.129195462,0.592577938,1.862745098,0.622051259,0.790661485,0.6847486,0.559120475,0.395412147,0.177027723
106,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT03434379,IMbrave150,Hepatocellular cancer,Hepatocellular cancer,Industry,Hoffmann–La Roche/Genentech,2,1,1,Atezolizumab plus Bevacizumab,Immune checkpoint inhibitor and target therapy,Sorafenib,Target therapy,OS and PFS,RECIST 1.1,336,165,8.6,0.45,0.36,0.57,0.59,0.47,0.76,336,86,165,9,326,89,159,19,Not reached,13.2,0.58,0.42,0.79,Atezolizumab plus Bevacizumab in Unresectable Hepatocellular Carcinoma.,The New England journal of medicine,176.08,2020,Finn RS and Qin S and Ikeda M and Galle PR and Ducreux M and Kim TY and Kudo M and Breder V and Merle P and Kaseb AO and Li D and Verret W and Xu DZ and Hernandez S and Liu J and Huang C and Mulla S and Wang Y and Lim HY and Zhu AX and Cheng AL,Finn,https://pubmed.ncbi.nlm.nih.gov/32402160/,32402160,0.053571429,0.073979592,0.762711864,-0.270874954,0.169625136,0.14692422,0.120003191,0.084940011,0.038288866,5.962666667,2.916315939,12.191201,2.767044193,1.616381266,4.736836367,2.366042106,0.796034464,2.154886677,0.767738136,0.456485569,0.397915957,0.329082275,0.241356951,0.134980017
114,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 2,NCT02675231,monarcHER,Breast cancer,Breast cancer,Industry,Eli Lilly,3,≥3,≥3,abemaciclib plus trastuzumab plus fulvestrant,Target therapy and Hormone therapy,trastuzumab plus standard of care chemotherapy,Hormone therapy and Chemotherapy,PFS,RECIST 1.1,79,79,19,0.673,0.45,1,0.883,0.565,1.368,79,26,79,11,79,24,79,9,In progress,In progress,In progress,In progress,In progress,"Abemaciclib plus trastuzumab with or without fulvestrant versus trastuzumab plus standard-of-care chemotherapy in women with hormone receptor-positive, HER2-positive advanced breast cancer (monarcHER): a randomised, open-label, phase 2 trial.",The Lancet. Oncology,54.43,2020,Tolaney SM and Wardley AM and Zambelli S and Hilton JF and Troso-Sandoval TA and Ricci F and Im SA and Kim SB and Johnston SR and Chan A and Goel S and Catron K and Chapman SC and Price GL and Yang Z and Gainford MC and Andrﾃｩ F,Tolaney,https://pubmed.ncbi.nlm.nih.gov/32353342/,32353342,0.140306122,0.204846939,0.762174405,-0.271579871,0.303942551,0.263449227,0.215476022,0.153148088,0.071231126,3.032590051,1.374700755,6.689894063,3.393939394,1.459953653,7.889856356,1.35591666,1.640281302,0.893530997,-0.112574253,0.590076051,0.511195691,0.4176749,0.295945282,0.134494015
120,Inclusion,Investigator + Central,Investigator + Central,Investigator,Investigator,Unclear,Phase 3,NCT02367794,IMpower131,Non-small cell lung cancer,Non-small cell lung cancer,Industry,Hoffmann-La Roche/Genentech,3,1,1,Atezolizumab plus carboplatin plus nab-paclitaxel,Immune checkpoint inhibitor and chemotherapy,carboplatin plus nab-paclitaxel,Chemotherapy,PFS,RECIST 1.1,343,340,18.1/16.1,0.71,0.6,0.85,0.8,0.67,0.96,342,170,339,139,NA,NA,NA,NA,14.2,13.5,0.88,0.73,1.05,Atezolizumab in Combination With Carboplatin and Nab-Paclitaxel in Advanced Squamous NSCLC (IMpower131): Results From a Randomized PhaseﾂIII Trial.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,20.12,2020,Jotte R and Cappuzzo F and Vynnychenko I and Stroyakovskiy D and Rodrﾃｭguez-Abreu D and Hussein M and Soo R and Conter HJ and Kozuki T and Huang KC and Graupner V and Sun SW and Hoang T and Jessop H and McCleland M and Ballinger M and Sandler A and Socinski MA,Jotte,https://pubmed.ncbi.nlm.nih.gov/32302702/,32302702,0.06377551,0.073979592,0.8875,-0.119346758,0.127721744,0.110619747,0.09033611,0.063910072,0.028698516,1.422118119,1.050428998,1.925327603,#VALUE!,#VALUE!,#VALUE!,0.22318842,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
125,Inclusion,Unclear,Invesitigator,Investigator + Central,Investigator + Central,Blinding,Phase 2,NCT02574598,PROLUNG,Non-small cell lung cancer,Non-small cell lung cancer,Industry,merck sharp & dohme,3,2,2,Pembrolizumab Plus Docetaxel,Immune checkpoint inhibitor and chemotherapy,Docetaxel,Chemotherapy,ORR,RECIST 1.1,40,38,8.9/7/9,NA,NA,NA,0.24,0.13,0.46,40,23,38,11,40,17,38,6,14.6,14.1,1.19,0.62,2.26,Efficacy and Safety of Pembrolizumab Plus Docetaxel vs Docetaxel Alone in Patients With Previously Treated Advanced Non-Small Cell Lung Cancer: The PROLUNG Phase 2 Randomized Clinical Trial.,JAMA oncology,33.01,2020,Arrieta O and Barrﾃｳn F and Ramﾃｭrez-Tirado LA and Zatarain-Barrﾃｳn ZL and Cardona AF and Dﾃｭaz-Garcﾃｭa D and Yamamoto Ramos M and Mota-Vega B and Carmona A and Peralta ﾃ〕varez MP and Bautista Y and Aldaco F and Gerson R and Rolfo C and Rosell R,Arrieta,https://pubmed.ncbi.nlm.nih.gov/32271354/,32271354,#VALUE!,0.084183673,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3.320855615,1.296583874,8.505490648,3.942028986,1.346850025,11.53773044,1.83900683,2.59971439,0.842422932,-0.171473097,0.728331226,0.631671209,0.517252992,0.368907574,0.17585935
138,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT02282020,SOLO3,Ovarian cancer,Ovarian cancer,Industry,"between AstraZeneca and Merck Sharp &
Dohme Corp (MSD)",2,≥3,≥3,Olaparib,Target therapy,Chemotherapy,Chemotherapy,ORR,RECIST 1.1,178,88,NA,0.49,0.35,0.7,0.62,0.43,0.91,151,99,72,29,160,92,78,25,In progress,In progress,In progress,In progress,In progress,Olaparib Versus Nonplatinum Chemotherapy in Patients With Platinum-Sensitive Relapsed Ovarian Cancer and a Germline BRCA1/2 Mutation (SOLO3): A Randomized Phase III Trial.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,50.74,2020,Penson RT and Valencia RV and Cibula D and Colombo N and Leath CA 3rd and Bidziﾅгki M and Kim JW and Nam JH and Madry R and Hernﾃ｡ndez C and Mora PAR and Ryu SY and Milenkova T and Lowe ES and Barker L and Scambia G,Penson,https://pubmed.ncbi.nlm.nih.gov/32073956/,32073956,0.089285714,0.12244898,0.790322581,-0.235314087,0.260459336,0.225679545,0.184454463,0.130826757,0.059911549,2.822944297,1.583170966,5.033577975,2.868235294,1.622775219,5.0695707,0.88020587,0.879284561,0.984209456,-0.015916543,0.414142154,0.358664638,0.292859901,0.207107509,0.092708141
161,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Central,Blinding,Phase 3,NCT02627963,TIVO-3,Renal cell cancer,Renal cell cancer,Industry,AVEO Oncology,2,"3, 4",≥3,Tivozanib,Target therapy,Sorafenib,Target therapy,PFS,RECIST 1.1,175,175,19,0.62,0.48,0.8,0.73,0.56,0.94,NA,NA,NA,NA,175,31,175,14,16.4,19.7,0.99,0.76,1.29,"Tivozanib versus sorafenib in patients with advanced renal cell carcinoma (TIVO-3): a phase 3, multicentre, randomised, controlled, open-label study.",The Lancet. Oncology,54.43,2020,Rini BI and Pal SK and Escudier BJ and Atkins MB and Hutson TE and Porta C and Verzoni E and Needle MN and McDermott DF,Rini,https://pubmed.ncbi.nlm.nih.gov/31810797/,31810797,0.081632653,0.096938776,0.849315068,-0.163325056,0.185578251,0.160718044,0.13122992,0.092802448,0.041534278,#VALUE!,#VALUE!,#VALUE!,2.475694444,1.26687074,4.83795449,#VALUE!,0.910990753,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
186,Inclusion,Investigator + Central,Invesitigator,Investigator + Central,Investigator + Central,Blinding,Phase 2,NCT01328171,AIO KRKO109,Colorectal cancer,Colorectal cancer,Industry and Public,"Arbeitsgemeinschaft Internistische Onkologie (AIO) Studien (Berlin, Germany) and Amgen",2,1,1,mFOLFOXIRI plus panitumumab,Target therapy and chemotherapy,FOLFOXIRI,Chemotherapy,ORR,RECIST 1.1,71,34,44.2/63.3,1.07,0.69,1.67,NA,NA,NA,63,55,33,20,56,50,30,20,35.7,27,0.67,0.41,1.11,"FOLFOXIRI Plus Panitumumab As First-Line Treatment of RAS Wild-Type Metastatic Colorectal Cancer: The Randomized, Open-Label, Phase II VOLFI Study (AIO KRK0109).",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,50.74,2019,Modest DP and Martens UM and Riera-Knorrenschild J and Greeve J and Florschﾃｼtz A and Wessendorf S and Ettrich T and Kanzler S and Nﾃｶrenberg D and Ricke J and Seidensticker M and Held S and Buechner-Steudel P and Atzpodien J and Heinemann V and Seufferlein T and Tannapfel A and Reinacher-Schick AC and Geissler M,Modest,https://pubmed.ncbi.nlm.nih.gov/31609637/,31609637,0.25,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4.46875,1.613595693,12.37591712,4.166666667,1.336248245,12.99242949,2.74549016,2.973515624,1.0725,0.069992372,0.77895543,0.675273387,0.552464237,0.392987683,0.183895044
193,Inclusion,Central,Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT02928224,BEACON CRC,Colorectal cancer,Colorectal cancer,Industry,Array BioPharma and others,3,"2, 3",≥2,"Triplet Regimen (encorafenib, binimetinib and cetuximab)",Target therapy,investigators’ choice,Target therapy or chemotherapy,OS and ORR,RECIST 1.1,224,221,7.8,NA,NA,NA,0.38,0.29,0.49,111,29,107,4,111,29,107,2,9,5.4,0.52,0.39,0.7,"Encorafenib, Binimetinib, and Cetuximab in BRAF V600E-Mutated Colorectal Cancer.",The New England journal of medicine,176.08,2019,Kopetz S and Grothey A and Yaeger R and Van Cutsem E and Desai J and Yoshino T and Wasan H and Ciardiello F and Loupakis F and Hong YS and Steeghs N and Guren TK and Arkenau HT and Garcia-Alfonso P and Pfeiffer P and Orlov S and Lonardi S and Elez E and Kim TW and Schellens JHM and Guo C and Krishnan A and Dekervel J and Morris V and Calvo Ferrandiz A and Tarpgaard LS and Braun M and Gollerkeri A and Keir C and Maharry K and Pickard M and Christy-Bittel J and Anderson L and Sandor V and Tabernero J,Kopetz,https://pubmed.ncbi.nlm.nih.gov/31566309/,31566309,#VALUE!,0.051020408,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,9.106707317,3.077470721,26.94814206,18.56707317,4.304421331,80.08886203,6.089456973,19.33276548,0.49047619,-0.712378542,0.928756324,0.810051177,0.670654539,0.49332759,0.279728068
226,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator,Blinding,Phase 3,NCT02367781,IMpower130,Non-small cell lung cancer,Non-small cell lung cancer,Industry,F. Hoffmann-La Roche,2,1,1,"Atezolizumab, carboplatin plus nab-paclitaxel",Immune checkpoint inhibitor and chemotherapy,Chemotherapy,Chemotherapy,OS and PFS,RECIST 1.1,483,240,18.5/19.2,0.65,0.54,0.77,0.75,0.63,0.91,447,220,226,72,NA,NA,NA,NA,18.1,13.9,0.8,0.65,0.99,"Atezolizumab in combination with carboplatin plus nab-paclitaxel chemotherapy compared with chemotherapy alone as first-line treatment for metastatic non-squamous non-small-cell lung cancer (IMpower130): a multicentre, randomised, open-label, phase 3 trial.",The Lancet. Oncology,54.43,2019,West H and McCleod M and Hussein M and Morabito A and Rittmeyer A and Conter HJ and Kopp HG and Daniel D and McCune S and Mekhail T and Zer A and Reinmuth N and Sadiq A and Sandler A and Lin W and Ochi Lohmann T and Archer V and Wang L and Kowanetz M and Cappuzzo F,West,https://pubmed.ncbi.nlm.nih.gov/31122901/,31122901,0.058673469,0.071428571,0.866666667,-0.143100844,0.130356824,0.112904318,0.092205577,0.065240722,0.029324708,2.072931963,1.481827903,2.899828593,#VALUE!,#VALUE!,#VALUE!,0.36173487,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
233,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Unclear,Phase 3,NCT02420821,IMmotion151,Renal cell cancer,Renal cell cancer,Industry,F Hoffmann–La Roche Ltd and Genentech Inc,2,1,1,Atezolizumab plus bevacizumab,Immune checkpoint inhibitor and target therapy,Sunitinib,Target therapy,OS and PFS,RECIST 1.1,454,461,24,0.83,0.7,0.97,0.88,0.74,1.04,454,166,460,153,454,151,460,144,33.6,34.9,0.93,0.76,1.14,"Atezolizumab plus bevacizumab versus sunitinib in patients with previously untreated metastatic renal cell carcinoma (IMmotion151): a multicentre, open-label, phase 3, randomised controlled trial.","Lancet (London, England)",202.73,2019,Rini BI and Powles T and Atkins MB and Escudier B and McDermott DF and Suarez C and Bracarda S and Stadler WM and Donskov F and Lee JL and Hawkins R and Ravaud A and Alekseev B and Staehler M and Uemura M and De Giorgi U and Mellado B and Porta C and Melichar B and Gurney H and Bedke J and Choueiri TK and Parnis F and Khaznadar T and Thobhani A and Li S and Piault-Louis E and Frantz G and Huseni M and Schiff C and Green MC and Motzer RJ,Rini,https://pubmed.ncbi.nlm.nih.gov/31079938/,31079938,0.068877551,0.076530612,0.943181818,-0.058496207,0.120260622,0.104164303,0.085075183,0.060211059,0.027118988,1.156545025,0.880926256,1.518397694,1.093601027,0.828672281,1.443228202,0.162620265,0.15677447,1.057556638,0.055961189,0.198296352,0.171734778,0.140229187,0.099174672,0.044415403
246,Inclusion,Investigator + Central,Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT01655693,RELIVE,Hepatocellular cancer,Hepatocellular cancer,Industry,Onxeo,3,≥2,≥2,doxorubicin-loaded nanoparticles,Chemotherapy,Standard care,Standard care,OS,RECIST 1.1,263,134,22.7,appendix p9,appendix p9,appendix p9,0.95,0.74,1.22,219,6,78,4,204,2,72,1,9.1,9,1,0.78,1.28,Doxorubicin-loaded nanoparticles for patients with advanced hepatocellular carcinoma after sorafenib treatment failure (RELIVE): a phase 3 randomised controlled trial.,The lancet. Gastroenterology & hepatology,45.04,2019,Merle P and Blanc JF and Phelip JM and Pelletier G and Bronowicki JP and Touchefeu Y and Pageaux G and Gerolami R and Habersetzer F and Nguyen-Khac E and Casadei-Gardini A and Borbath I and Tran A and Wege H and Saad AS and Colombo M and Abergel A and Richou C and Waked I and Yee NS and Molﾃｩ A and Attali P and Le Boulicaut J and Vasseur B,Merle,https://pubmed.ncbi.nlm.nih.gov/30954567/,30954567,#VALUE!,0.12244898,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.521126761,0.143089492,1.897924832,0.702970297,0.062779685,7.871451384,0.447662077,1.992008086,0.741321166,-0.299321325,1.397823314,1.243996167,1.068242908,0.857181053,0.640041025
249,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Central,Unclear,Phase 3,NCT02225470,No name,Breast cancer,Breast cancer,Industry,"Eisai Co., Ltd.",2,≥3,≥3,Eribulin mesilate,Chemotherapy,vinorelbine,Chemotherapy,PFS,RECIST 1.1,264,266,NA,0.82,0.67,1,0.8,0.65,0.98,NA,NA,NA,NA,264,81,266,45,13.4,12.5,1.03,0.8,1.31,Eribulin mesilate versus vinorelbine in women with locally recurrent or metastatic breast cancer: A randomised clinical trial.,"European journal of cancer (Oxford, England : 1990)",10.00,2019,Yuan P and Hu X and Sun T and Li W and Zhang Q and Cui S and Cheng Y and Ouyang Q and Wang X and Chen Z and Hiraiwa M and Saito K and Funasaka S and Xu B,Yuan,https://pubmed.ncbi.nlm.nih.gov/30928806/,30928806,0.084183673,0.084183673,1.025,0.024692613,0.146313506,0.126717765,0.103475321,0.073190792,0.032812985,#VALUE!,#VALUE!,#VALUE!,2.173770492,1.437254641,3.287711179,#VALUE!,0.472055239,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
267,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT02684006,JAVELIN Renal101,Renal cell cancer,Renal cell cancer,Industry,Pfizer and Merck,2,1,1,avelumab plus axitinib,Immune checkpoint inhibitor and target therapy,Sunitinib,Target therapy,OS and PFS,RECIST 1.1,442,444,12.0/11.5,0.64,0.525,0.775,0.69,0.56,0.84,442,247,444,134,442,227,444,114,Not reached,Not reached,0.78,0.554,1.084,Avelumab plus Axitinib versus Sunitinib for Advanced Renal-Cell Carcinoma.,The New England journal of medicine,176.08,2019,Motzer RJ and Penkov K and Haanen J and Rini B and Albiges L and Campbell MT and Venugopal B and Kollmannsberger C and Negrier S and Uemura M and Lee JL and Vasiliev A and Miller WH Jr and Gurney H and Schmidinger M and Larkin J and Atkins MB and Bedke J and Alekseev B and Wang J and Mariani M and Robbins PB and Chudnovsky A and Fowst C and Hariharan S and Huang B and di Pietro A and Choueiri TK,Motzer,https://pubmed.ncbi.nlm.nih.gov/30779531/,30779531,0.06377551,0.071428571,0.927536232,-0.075223421,0.143421979,0.124223843,0.101455716,0.071798059,0.03231595,2.930348259,2.223028708,3.86272156,3.05630355,2.302815507,4.056335108,0.418288993,0.447326429,0.958788357,-0.04208492,0.201801792,0.174774145,0.142716644,0.100945923,0.045251633
291,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Unclear,Phase 2,NCT02746796,ATTRACTION-4,gastric/gastroesophageal junction cancer,Gastric and gastroesophageal junction cancer,Industry,"Ono Pharmaceutical Co., Ltd. and Bristol-Myers Squibb Inc.",2,1,1,"nivolumab, S-1/capecitabine and oxaliplatin",Immune checkpoint inhibitor and chemotherapy,"nivolumab, capecitabine and oxaliplatin",Immune checkpoint inhibitor and chemotherapy,Safety,RECIST 1.1,21,19,13.2,NA,NA,NA,NA,NA,NA,21,14,17,12,21,12,17,13,11.9,11.2,NA,NA,NA,"Safety and efficacy of nivolumab in combination with S-1/capecitabine plus oxaliplatin in patients with previously untreated, unresectable, advanced, or recurrent gastric/gastroesophageal junction cancer: interim results of a randomized, phase II trial (ATTRACTION-4).",Annals of oncology : official journal of the European Society for Medical Oncology,51.77,2019,Boku N and Ryu MH and Kato K and Chung HC and Minashi K and Lee KW and Cho H and Kang WK and Komatsu Y and Tsuda M and Yamaguchi K and Hara H and Fumita S and Azuma M and Chen LT and Kang YK,Boku,https://pubmed.ncbi.nlm.nih.gov/30566590/,30566590,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.833333333,0.209099079,3.321126275,0.41025641,0.099638536,1.689209112,0.793884489,0.405502698,2.03125,0.708651367,1.009448646,0.874247746,0.713884916,0.504929922,0.226301277
333,Inclusion,Investigator + Central,Investigator + Central,Investigator,Investigator,Blinding,Phase 3,NCT01945775,EMBRACA,Breast cancer,Breast cancer,Industry,Medivation [Pfizer],2,≥4,≥4,Talazoparib,Target therapy,Standard therapy,Chemotherapy,PFS,RECIST 1.1,287,144,11.2,0.54,0.42,0.69,0.54,0.41,0.71,219,137,114,31,NA,NA,NA,NA,22.3,19.5,0.76,0.55,1.06,Talazoparib in Patients with Advanced Breast Cancer and a Germline BRCA Mutation.,The New England journal of medicine,176.08,2018,Litton JK and Rugo HS and Ettl J and Hurvitz SA and Gonﾃｧalves A and Lee KH and Fehrenbacher L and Yerushalmi R and Mina LA and Martin M and Rochﾃｩ H and Im YH and Quek RGW and Markova D and Tudor IC and Hannah AL and Eiermann W and Blum JL,Litton,https://pubmed.ncbi.nlm.nih.gov/30110579/,30110579,0.068877551,0.076530612,1,0,0.188839097,0.16367739,0.133866992,0.095133879,0.044209974,4.47324941,2.726565585,7.338888304,#VALUE!,#VALUE!,#VALUE!,1.176612939,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
